current_uA,Ia_tib_ant,II_tib_ant,Ib_tib_ant,MN_tib_ant,Ia_med_gas,II_med_gas,Ib_med_gas,MN_med_gas
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180,0.153333,0.000000,0.153333,0.000000,0.050000,0.000000,0.050000,0.000000
210,0.536667,0.035000,0.536667,0.000000,0.225000,0.014167,0.225000,0.000000
240,0.843333,0.070000,0.843333,0.000000,0.437500,0.056667,0.437500,0.000000
270,0.920000,0.140000,0.920000,0.000000,0.600000,0.099167,0.600000,0.000000
300,0.930000,0.262500,0.930000,0.000000,0.637500,0.170000,0.637500,0.000000
330,0.939167,0.367500,0.939167,0.000000,0.637500,0.240833,0.637500,0.000000
360,0.939167,0.542500,0.939167,0.000000,0.637500,0.340000,0.637500,0.000000
390,0.939167,0.612500,0.939167,0.000000,0.637500,0.396667,0.637500,0.000000
420,0.939167,0.647500,0.939167,0.000000,0.637500,0.410833,0.637500,0.000000
450,0.939167,0.717500,0.939167,0.000000,0.637500,0.453333,0.637500,0.000000
480,0.939167,0.770000,0.939167,0.000000,0.637500,0.510000,0.637500,0.000000
510,0.939167,0.805000,0.939167,0.000000,0.637500,0.538333,0.637500,0.000000
540,0.939167,0.822500,0.939167,0.000000,0.637500,0.566667,0.637500,0.000000
570,0.939167,0.857500,0.939167,0.000000,0.637500,0.623333,0.637500,0.000000

