current_uA,Ia_tib_ant,II_tib_ant,Ib_tib_ant,MN_tib_ant,Ia_med_gas,II_med_gas,Ib_med_gas,MN_med_gas
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180,0.000000,0.000000,0.000000,0.000000,0.066667,0.000000,0.066667,0.000000
210,0.133333,0.033333,0.133333,0.000000,0.300000,0.016667,0.300000,0.000000
240,0.466667,0.066667,0.466667,0.000000,0.583333,0.066667,0.583333,0.000000
270,0.733333,0.133333,0.733333,0.000000,0.800000,0.116667,0.800000,0.000000
300,0.800000,0.250000,0.800000,0.000000,0.850000,0.200000,0.850000,0.000000
330,0.816667,0.350000,0.816667,0.000000,0.850000,0.283333,0.850000,0.000000
360,0.816667,0.516667,0.816667,0.000000,0.850000,0.400000,0.850000,0.000000
390,0.816667,0.583333,0.816667,0.000000,0.850000,0.466667,0.850000,0.000000
420,0.816667,0.616667,0.816667,0.000000,0.850000,0.483333,0.850000,0.000000
450,0.816667,0.683333,0.816667,0.000000,0.850000,0.533333,0.850000,0.000000
480,0.816667,0.733333,0.816667,0.000000,0.850000,0.600000,0.850000,0.000000
510,0.816667,0.766667,0.816667,0.000000,0.850000,0.633333,0.850000,0.000000
540,0.816667,0.783333,0.816667,0.000000,0.850000,0.666667,0.850000,0.000000
570,0.816667,0.816667,0.816667,0.000000,0.850000,0.733333,0.850000,0.000000
