,time,activations_tib_ant_r,activations_med_gas_r,joint
85,0.0,0.46,0.344,0.0
86,0.02,0.491,0.236,-2.316026807890536
87,0.04,0.501,0.157,-3.420765682087095
88,0.06,0.541,0.105,-4.614365372389623
89,0.08,0.572,0.07,-6.157360915345312
90,0.1,0.557,0.047,-7.636245773375197
91,0.12,0.557,0.031,-8.468444516681448
92,0.14,0.552,0.05,-8.187846628277057
93,0.16,0.534,0.033,-6.829400962727761
94,0.18,0.521,0.022,-4.610225927442601
95,0.2,0.517,0.015,-1.8626919794279269
96,0.22,0.534,0.01,1.0972777089924175
97,0.24,0.569,0.01,3.9978853069348723
98,0.26,0.617,0.01,6.52855727865427
99,0.28,0.665,0.01,8.924391487448965
100,0.3,0.694,0.01,11.127067503592746
101,0.32,0.688,0.01,13.065172594546139
102,0.34,0.674,0.01,14.667912426153821
103,0.36,0.695,0.01,15.945490052080384
104,0.38,0.882,0.01,16.932273175362095
105,0.4,0.758,0.01,17.936303332047814
106,0.42,0.632,0.015,18.761460547910534
107,0.44,0.598,0.01,19.122485639917645
108,0.46,0.399,0.371,18.981351549744762
109,0.48,0.266,0.365,16.969627690569066
110,0.5,0.177,0.243,13.749568914811306
111,0.52,0.118,0.162,10.688134145833434
112,0.54,0.079,0.115,7.745436887456138
113,0.56,0.053,0.114,4.8371238198353375
114,0.58,0.035,0.161,1.910158809759997
115,0.6,0.023,0.276,-1.2081167745220922
116,0.62,0.016,0.334,-5.188073895263527
117,0.64,0.01,0.383,-10.672605745403434
118,0.66,0.01,0.438,-16.937821682699756
119,0.68,0.01,0.292,-23.683317409974944
120,0.7000000000000001,0.01,0.477,-30.18634341699571
121,0.72,0.01,0.411,-35.48216086957562
122,0.74,0.01,0.299,-39.04002613250886
123,0.76,0.359,0.209,-40.20732526561709
124,0.78,0.402,0.142,-37.1148253713003
125,0.8,0.476,0.115,-32.52284031015819
126,0.8200000000000001,0.537,0.085,-29.771151425139784
127,0.84,0.576,0.057,-28.121086346573
128,0.86,0.61,0.038,-27.553972151096858
129,0.88,0.651,0.025,-27.75806395474437
130,0.9,0.631,0.034,-28.398898800411068
131,0.92,0.617,0.023,-29.377724696173594
132,0.9400000000000001,0.614,0.015,-31.055085996605843
133,0.96,0.63,0.01,-34.21355413817881
134,0.98,0.655,0.01,-40.109162699779766
135,1.0,0.659,0.01,-46.11130117688325
136,1.02,0.657,0.01,-50.58915599106782
137,1.04,0.667,0.01,-54.92619337689693
138,1.06,0.682,0.01,-59.0868587250434
139,1.08,0.7,0.01,-62.108067371602445
140,1.1,0.748,0.01,-63.64121694842031
141,1.12,0.785,0.01,-64.57331530652324
142,1.1400000000000001,0.783,0.01,-65.07450041909749
143,1.16,0.7743726586769984,0.01,-65.15264769561952
144,1.18,0.6833065658691873,0.01,-65.03789408956241
145,1.2,0.6766979715252848,0.0119673467014368,-64.85210852517996
146,1.22,0.6520273910694228,0.01,-64.74740831177483
147,1.24,0.594,0.01,-65.13502423633318
148,1.26,0.522,0.01,-65.34908775211015
149,1.28,0.348,0.171,-65.48880764800961
150,1.3,0.232,0.114,-66.81512973755669
151,1.32,0.155,0.104,-70.53517160921142
152,1.34,0.103,0.069,-72.57488540109108
153,1.36,0.069,0.046,-73.54928865111889
154,1.3800000000000001,0.046,0.031,-74.42940843086816
155,1.4000000000000001,0.031,0.032,-74.87871124939818
156,1.42,0.02,0.047,-75.04164052652419
157,1.44,0.014,0.034,-75.11523659934558
158,1.46,0.01,0.162,-75.00850612974482
159,1.48,0.01,0.165,-74.12714519878168
160,1.5,0.01,0.175,-72.14399694952309
161,1.52,0.01,0.178,-67.96617358202644
162,1.54,0.01,0.173,-60.71505099088655
163,1.56,0.01,0.166,-51.15580266460316
164,1.58,0.01,0.152,-42.43098787871604
165,1.6,0.01,0.137,-38.22079031916434
166,1.62,0.01,0.095,-38.824922820901826
167,1.6400000000000001,0.01,0.063,-41.03580587804766
168,1.6600000000000001,0.01,0.226,-41.6476859073361
169,1.68,0.01,0.171,-41.4255826388955
170,1.7,0.01,0.136,-41.713469747731246
171,1.72,0.01,0.139,-42.11217658202294
172,1.74,0.01,0.114,-42.19290353199508
173,1.76,0.045,0.076,-42.18701345628801
174,1.78,0.301,0.051,-41.97228966106575
175,1.8,0.401,0.034,-40.24708816717922
176,1.82,0.493,0.023,-36.099166294755484
177,1.84,0.574,0.015,-32.38693179946745
178,1.86,0.613,0.01,-30.148225009823985
179,1.8800000000000001,0.608,0.01,-28.85184741866388
180,1.9000000000000001,0.573,0.01,-28.63815052860562
181,1.92,0.532,0.01,-29.31967230962972
182,1.94,0.495,0.01,-30.499752670961577
183,1.96,0.469,0.01,-32.004637149288804
184,1.98,0.456,0.01,-34.14953766097013
185,2.0,0.456,0.01,-37.534580131224565
