,time,activations_tib_ant_r,activations_med_gas_r,joint
17.2,0.0,0.01,0.169,0.0
17.22,0.020175438596491225,0.01,0.113,-5.065916610630992
17.24,0.04035087719298245,0.01,0.205,-10.183993116828901
17.26,0.06052631578947368,0.01,0.137,-15.280373847856826
17.28,0.0807017543859649,0.01,0.247,-20.531286854963213
17.3,0.10087719298245612,0.01,0.165,-25.70128618513684
17.32,0.12105263157894736,0.011,0.186,-30.745438690915666
17.34,0.14122807017543856,0.01,0.124,-35.13696878654852
17.36,0.1614035087719298,0.01,0.102,-38.34437101340708
17.38,0.18157894736842103,0.01,0.101,-40.33278295191063
17.4,0.20175438596491224,0.01,0.091,-41.31556802567874
17.42,0.22192982456140348,0.01,0.061,-41.51808488127241
17.44,0.2421052631578947,0.01,0.041,-41.20841222079071
17.46,0.26228070175438595,0.015,0.27,-40.71978513045253
17.48,0.2824561403508771,0.01,0.18,-40.81050436725555
17.5,0.30263157894736836,0.674,0.12,-41.27785091285086
17.52,0.3228070175438596,0.82,0.08,-36.667646778542775
17.54,0.34298245614035083,0.83,0.053,-30.673546063336875
17.56,0.36315789473684207,0.844,0.036,-26.589234929563457
17.58,0.38333333333333325,0.919,0.024,-24.206262087463312
17.6,0.4035087719298245,0.973,0.016,-24.737285611842285
17.62,0.4236842105263157,1.0,0.011,-27.409793445189457
17.64,0.44385964912280695,1.0,0.01,-33.317471877736075
17.66,0.4640350877192982,0.987,0.01,-44.83603012414147
17.68,0.4842105263157894,0.886,0.01,-55.87715512667817
17.7,0.5043859649122806,0.702,0.01,-59.478791913146075
17.72,0.5245614035087719,0.468,0.01,-62.14798916638153
17.74,0.5447368421052631,0.312,0.085,-63.9686722828648
17.76,0.5649122807017543,0.208,0.057,-65.5549151584829
17.78,0.5850877192982455,0.139,0.038,-68.21298368535015
17.8,0.6052631578947367,0.092,0.025,-69.66627570515186
17.82,0.625438596491228,0.062,0.177,-70.41662512311159
17.84,0.6456140350877192,0.041,0.223,-71.61953952198742
17.86,0.6657894736842104,0.027,0.217,-74.52443950391516
17.88,0.6859649122807017,0.022,0.216,-77.2745039226279
17.9,0.7061403508771928,0.015,0.219,-79.07197971859804
17.92,0.7263157894736841,0.01,0.217,-80.16997996156893
17.94,0.7464912280701753,0.01,0.214,-80.39785596634462
17.96,0.7666666666666665,0.01,0.21,-78.82602442226323
17.98,0.7868421052631578,0.01,0.204,-74.57821632473537
18.0,0.807017543859649,0.01,0.193,-67.32512617976246
18.02,0.8271929824561403,0.01,0.177,-57.39988966848713
18.04,0.8473684210526314,0.01,0.159,-46.81560998895717
18.06,0.8675438596491226,0.01,0.145,-39.633648103134796
18.08,0.8877192982456139,0.01,0.137,-38.1941871584959
18.1,0.9078947368421051,0.01,0.135,-40.31862028103608
18.12,0.9280701754385964,0.01,0.135,-41.11675414966893
18.14,0.9482456140350876,0.01,0.137,-40.85047347116782
18.16,0.9684210526315788,0.01,0.141,-40.92888257988646
18.18,0.98859649122807,0.01,0.147,-41.206374328349355
18.2,1.0087719298245612,0.01,0.15181959197913789,-41.410002253409296
18.22,1.0289473684210524,0.01,0.14923040626457124,-41.49854200123248
18.24,1.0491228070175438,0.01,0.138,-41.65350102660076
18.26,1.069298245614035,0.01,0.116,-41.83976341197279
18.28,1.0894736842105261,0.01,0.077,-41.96787026423224
18.3,1.1096491228070173,0.01,0.052,-41.95372051031165
18.32,1.1298245614035085,0.01,0.281,-41.56678146213925
18.34,1.15,0.01,0.276,-41.07345299721617
18.36,1.170175438596491,0.01,0.263,-41.48181789262605
18.38,1.1903508771929823,0.01,0.309,-42.53467555920288
18.4,1.2105263157894735,0.01,0.334,-43.25110374012203
18.42,1.2307017543859646,0.01,0.223,-43.55969954153364
18.44,1.250877192982456,0.01,0.148,-43.695196666134954
18.46,1.2710526315789472,0.554,0.099,-43.774832119736885
18.48,1.2912280701754384,0.458,0.066,-43.00521037713462
18.5,1.3114035087719296,0.351,0.044,-37.710806159390906
18.52,1.3315789473684208,0.287,0.029,-33.761646872477954
18.54,1.3517543859649122,0.3,0.02,-32.353607209823814
18.56,1.3719298245614033,0.339,0.013,-32.206227234995254
18.58,1.3921052631578945,0.424,0.01,-32.55054875602124
18.6,1.4122807017543857,0.502,0.01,-32.6281918144317
18.62,1.4324561403508769,0.55,0.01,-32.152504385824436
18.64,1.4526315789473683,0.576,0.01,-31.45059774095478
18.66,1.4728070175438595,0.598,0.01,-31.015220682948094
18.68,1.4929824561403506,0.607,0.01,-31.14304385417042
18.7,1.5131578947368418,0.615,0.01,-32.12938951588473
18.72,1.533333333333333,0.619,0.01,-34.59539122302488
18.74,1.5535087719298244,0.602,0.01,-38.889067339590646
18.76,1.5736842105263156,0.465,0.01,-43.244221405836534
18.78,1.5938596491228068,0.31,0.01,-47.60538260856438
18.8,1.614035087719298,0.207,0.135,-51.59492290482971
18.82,1.6342105263157891,0.138,0.12,-55.117841518846134
18.84,1.6543859649122805,0.092,0.08,-59.93846798714557
18.86,1.6745614035087717,0.061,0.053,-66.00867177770674
18.88,1.6947368421052629,0.041,0.048,-69.74704665248265
18.9,1.714912280701754,0.027,0.032,-71.67887979579837
18.92,1.7350877192982452,0.018,0.165,-72.99495668123588
18.94,1.7552631578947366,0.012,0.145,-73.99005494627895
18.96,1.7754385964912278,0.01,0.137,-74.896838525529
18.98,1.795614035087719,0.01,0.126,-76.1494755096954
19.0,1.8157894736842102,0.01,0.123,-76.22906686053432
19.02,1.8359649122807014,0.01,0.122,-73.94001123930487
19.04,1.8561403508771928,0.01,0.121,-68.70473721807373
19.06,1.876315789473684,0.01,0.119,-60.340631096592375
19.08,1.8964912280701751,0.01,0.117,-50.01779166812437
19.1,1.9166666666666663,0.01,0.117,-41.1677537105083
19.12,1.9368421052631577,0.01,0.116,-37.309073318355836
19.14,1.9570175438596489,0.01,0.11,-38.24367511291003
19.16,1.97719298245614,0.01,0.105,-40.12826126149606
19.18,1.9973684210526312,0.01,0.129,-40.61543384210494
19.2,2.0175438596491224,0.01,0.104,-40.70743179479053
19.22,2.0377192982456136,0.01,0.069,-40.8842106328396
19.24,2.0578947368421048,0.011,0.29,-41.01645016265046
19.26,2.078070175438596,0.01,0.268,-41.03894662770342
19.28,2.0982456140350876,0.01,0.19,-41.1127867203229
19.3,2.1184210526315788,0.016,0.127,-41.79139474868065
19.32,2.13859649122807,0.479,0.084,-42.497540530379496
19.34,2.158771929824561,0.386,0.056,-42.590500984444866
19.36,2.1789473684210523,0.361,0.038,-40.7309571458402
19.38,2.1991228070175435,0.379,0.025,-35.18285684597514
19.4,2.2192982456140347,0.411,0.017,-32.17881557332597
19.42,2.239473684210526,0.435,0.011,-30.98104675892534
19.44,2.259649122807017,0.443,0.01,-30.78079792990745
19.46,2.279824561403508,0.434,0.01,-30.988842125085196
19.48,2.3,0.412,0.01,-31.205825367786467
