,LU_tibant_r,LU_gasmed_r
1.4,0.184,0.01
1.42,0.208,0.01
1.44,0.236,0.01
1.46,0.255,0.01
1.48,0.275,0.01
1.5,0.302,0.01
1.52,0.357,0.01
1.54,0.381,0.01
1.56,0.41,0.01
1.58,0.488,0.01
1.6,0.549,0.01
1.62,0.59,0.01
1.64,0.63,0.01
1.66,0.672,0.01
1.68,0.709,0.01
1.7,0.729,0.01
1.72,0.71,0.01
1.74,0.649,0.01
1.76,0.565,0.01
1.78,0.467,0.01
1.8,0.343,0.01
1.82,0.228,0.01
1.84,0.179,0.01
1.86,0.177,0.01
1.88,0.203,0.01
1.9,0.221,0.01
1.92,0.226,0.01
1.94,0.193,0.01
1.96,0.129,0.01
1.98,0.086,0.01
2.0,0.057,0.012
2.02,0.038,0.015
2.04,0.025,0.024
2.06,0.017,0.067
2.08,0.011,0.045
2.1,0.034,0.315
2.12,0.023,0.461
2.14,0.015,0.576
2.16,0.01,0.61
2.18,0.01,0.521
2.2,0.01,0.476
2.22,0.01,0.318
2.24,0.015,0.438
2.26,0.01,0.307
2.28,0.292,0.204
2.3,0.366,0.258
2.32,0.367,0.172
2.34,0.438,0.115
2.36,0.497,0.077
2.38,0.516,0.051
2.4,0.506,0.034
2.42,0.49,0.023
2.44,0.481,0.015
2.46,0.489,0.01
2.48,0.509,0.01
2.5,0.544,0.01
2.52,0.596,0.01
2.54,0.655,0.01
2.56,0.703,0.01
2.58,0.72,0.01
2.6,0.706,0.01
2.62,0.688,0.01
2.64,0.666,0.01
2.66,0.764,0.01
2.68,0.677,0.01
2.7,0.588,0.015
2.72,0.619,0.01
2.74,0.531,0.01
2.76,0.354,0.01
2.78,0.236,0.231
2.8,0.157,0.154
2.82,0.105,0.111
2.84,0.07,0.1
9.76,0.089,0.067
9.78,0.06,0.045
9.8,0.04,0.03
9.82,0.026,0.02
9.84,0.018,0.306
9.86,0.012,0.435
9.88,0.01,0.515
9.9,0.01,0.577
9.92,0.01,0.409
9.94,0.015,0.706
9.96,0.01,0.58
9.98,0.296,0.402
10.0,0.46,0.344
10.02,0.491,0.236
10.04,0.501,0.157
10.06,0.541,0.105
10.08,0.572,0.07
10.1,0.557,0.047
10.12,0.557,0.031
10.14,0.552,0.05
10.16,0.534,0.033
10.18,0.521,0.022
10.2,0.517,0.015
10.22,0.534,0.01
10.24,0.569,0.01
10.26,0.617,0.01
10.28,0.665,0.01
10.3,0.694,0.01
10.32,0.688,0.01
10.34,0.674,0.01
10.36,0.695,0.01
10.38,0.882,0.01
10.4,0.758,0.01
10.42,0.632,0.015
10.44,0.598,0.01
10.46,0.399,0.371
10.48,0.266,0.365
10.5,0.177,0.243
10.52,0.118,0.162
10.54,0.079,0.115
10.56,0.053,0.114
10.58,0.035,0.161
10.6,0.023,0.276
10.62,0.016,0.334
10.64,0.01,0.383
10.66,0.01,0.438
10.68,0.01,0.292
10.7,0.01,0.477
10.72,0.01,0.411
10.74,0.01,0.299
10.76,0.359,0.209
10.78,0.402,0.142
10.8,0.476,0.115
10.82,0.537,0.085
10.84,0.576,0.057
10.86,0.61,0.038
10.88,0.651,0.025
10.9,0.631,0.034
10.92,0.617,0.023
10.94,0.614,0.015
10.96,0.63,0.01
10.98,0.655,0.01
11.0,0.659,0.01
11.02,0.657,0.01
11.04,0.667,0.01
11.06,0.682,0.01
11.08,0.7,0.01
11.1,0.748,0.01
11.12,0.785,0.01
11.14,0.783,0.01
11.16,0.7743726586769984,0.01
11.18,0.6833065658691873,0.01
11.2,0.6766979715252848,0.011967346701436832
11.22,0.6520273910694228,0.01
11.24,0.594,0.01
11.26,0.522,0.01
11.28,0.348,0.171
11.3,0.232,0.114
11.32,0.155,0.104
11.34,0.103,0.069
11.36,0.069,0.046
11.38,0.046,0.031
11.4,0.031,0.032
11.42,0.02,0.047
11.44,0.014,0.034
11.46,0.01,0.162
11.48,0.01,0.165
11.5,0.01,0.175
11.52,0.01,0.178
11.54,0.01,0.173
11.56,0.01,0.166
11.58,0.01,0.152
11.6,0.01,0.137
11.62,0.01,0.095
11.64,0.01,0.063
11.66,0.01,0.226
11.68,0.01,0.171
11.7,0.01,0.136
11.72,0.01,0.139
11.74,0.01,0.114
11.76,0.045,0.076
11.78,0.301,0.051
11.8,0.401,0.034
11.82,0.493,0.023
11.84,0.574,0.015
11.86,0.613,0.01
11.88,0.608,0.01
11.9,0.573,0.01
11.92,0.532,0.01
11.94,0.495,0.01
11.96,0.469,0.01
11.98,0.456,0.01
12.0,0.456,0.01
12.02,0.464,0.01
12.04,0.473,0.01
12.06,0.479,0.01
12.08,0.483,0.01
12.1,0.48,0.01
12.12,0.462,0.01
12.14,0.421,0.01
12.16,0.373,0.01
12.18,0.359,0.01
12.2,0.369,0.01
12.22,0.383,0.01
12.24,0.412,0.01
12.26,0.41,0.01
12.28,0.39,0.01
12.3,0.381,0.01
12.32,0.376,0.01
12.34,0.371,0.01
12.36,0.366,0.01
12.38,0.37,0.01
12.4,0.376,0.01
12.42,0.377,0.01
12.44,0.378,0.01
12.46,0.368,0.01
12.48,0.347,0.01
12.5,0.318,0.01
12.52,0.28,0.01
12.54,0.246,0.01
12.56,0.33009959123377564,0.010632120558828556
12.58,0.32042843545103805,0.012638167236294927
12.6,0.31660001162959517,0.02495183493091993
12.62,0.32188456679420924,0.015087581989357689
12.64,0.324,0.01
12.66,0.276,0.01
12.68,0.237,0.01
12.7,0.218,0.01
12.72,0.218,0.01
12.74,0.223,0.01
12.76,0.219,0.01
12.78,0.215,0.01
12.8,0.206,0.01
12.82,0.178,0.01
12.84,0.135,0.01
12.86,0.092,0.01
12.88,0.061,0.01
12.9,0.045,0.01
12.92,0.047,0.01
12.94,0.037,0.01
12.96,0.025,0.07
12.98,0.016,0.06
13.0,0.058,0.112
13.02,0.039,0.076
13.04,0.053,0.051
13.06,0.121,0.034
13.08,0.248,0.023
13.1,0.442,0.015
13.12,0.559,0.01
13.14,0.633,0.01
13.16,0.663,0.01
13.18,0.658,0.01
13.2,0.64,0.01
13.22,0.619,0.01
13.24,0.604,0.01
13.26,0.636,0.01
13.28,0.622,0.01
13.3,0.539,0.01
13.32,0.483,0.01
13.34,0.457,0.01
13.36,0.41,0.01
13.38,0.335,0.01
13.4,0.248,0.01
13.42,0.171,0.01
13.44,0.122,0.01
13.46,0.096,0.01
13.48,0.084,0.01
13.5,0.077,0.01
13.52,0.078,0.01
13.54,0.079,0.01
13.56,0.082,0.01
13.58,0.094,0.01
13.6,0.134,0.01
13.62,0.183,0.01
13.64,0.223,0.01
13.66,0.245,0.01
13.68,0.251,0.01
13.7,0.25,0.01
13.72,0.247,0.01
13.74,0.246,0.01
13.76,0.246,0.01
13.78,0.247,0.01
13.8,0.248,0.01
13.82,0.251,0.01
13.84,0.257,0.01
13.86,0.266,0.01
13.88,0.279,0.01
13.9,0.289,0.01
13.92,0.295,0.01
13.94,0.296,0.01
13.96,0.37078316488131713,0.01
13.98,0.3917246095228721,0.01
14.0,0.41997796919936564,0.01
14.02,0.45688456679420925,0.01
14.04,0.504,0.01
14.06,0.502,0.01
14.08,0.501,0.01
14.1,0.501,0.01
14.12,0.505,0.01
14.14,0.509,0.01
14.16,0.513,0.01
14.18,0.517,0.01
14.2,0.52,0.01
14.22,0.523,0.01
14.24,0.526,0.01
14.26,0.528,0.01
14.28,0.528,0.01
14.3,0.527,0.01
14.32,0.526,0.01
14.34,0.527,0.01
14.36,0.526,0.01
